"age_at_death","birth_date","died","eva_count","eva_duration","fai_flights_count","fai_flights_duration","flown","name","nationality","non_fai_flight_flight_count","non_fai_flight_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","","","0","","0","","False","Trained for the MOL until the program was cancelled.","","0","","","0","",""
"","1963-05-10","","0","","0","","False","Lisa Marie Nowaknee: Caputo","American","0","","NASA Group 16","0","","Retired"
"","1988","","0","","0","","False","Zena Cardman","American","0","","NASA Group 22","0","",""
"88.4","1925-05-01","2013-10-10","0","","0","","False","Malcom Scott  Carpenter","American","0","","NASA Group 1","0","","Deceased"
"","1932-08-22","","3","15h 58m","0","","False","Gerald Paul  Carr""Gerry""","American","0","","NASA Group 5","0","","Retired"
"","1943-07-09","","0","","0","","False","John Howard Casper","American","0","","NASA Group 10","0","","Inactive"
"","1973-07-18","","0","","0","","False","Josh Aaron Cassada","American","0","","NASA Group 21","0","","Active"
"","1955-07-21","","0","","0","","False","Frank James Casserino","American","0","","MSE Group 1","0","","Retired"
"","1970-01-04","","6","7h 14m","0","","False","Christopher J. Cassidy","American","0","","NASA Group 19","0","","Active"
"","1948-11-05","","0","","0","","False","Robert Joseph Cenker","American","0","","","0","","Retired"
"82.8","1934-03-14","2017-01-16","7","1h 29m","0","","False","Eugene Andrew Cernan""Gene""","American","0","","NASA Group 3","0","","Deceased"
"31.9","1935-02-15","1967-01-27","0","","0","","False","Roger Bruce Chaffee","American","0","","NASA Group 3","0","","Deceased"
"","1962-08-06","","2","13h 43m","0","","False","Gregory Errol Chamitoff","American","0","","NASA Group 17","0","","Inactive"
"","1950-04-05","","3","19h 31m","0","","False","Franklin Ramon Chang-Diaz","American","0","","NASA Group 9","0","","Retired"
"","1935-03-05","","0","","0","","False","Phillip Kenyon Chapman","American","0","","NASA Group 6","0","","Retired"
"","1978","","0","","0","","False","Raja Chari","American","0","","NASA Group 22","0","",""
"","1959-05-04","","0","","0","","False","Maurizio   Cheli","Italian","0","","Italian Space Agency Group","0","","Retired"
"","1960-08-28","","6","12h 17m","0","","False","Leroy   Chiao","American","0","","NASA Group 13","0","","Retired"
"","1954-11-03","","0","","0","","False","Kevin Patrick Chilton""Chili""","American","0","","NASA Group 12","0","","Retired"
"","1944-07-13","","0","","0","","False","Viktor Martynovich Chirkin","Russian","0","","Buran Group 1","0","","Retired"
"","1938-08-20","","1","6h","0","","False","Jean-Loup Jacques Marie  Chretien","French","0","","CNES Group 1","0","","Retired"
"","China","","0","","0","","False","Zhao Chuan-dong","Chinese","0","","Group 1","0","","Active"
"","1984-06-10","","0","","0","","False","Nikolai Alexandrovich Chub","Russian","0","","Air Force Group 16","0","","Active"
"","1947-02-05","","0","","0","","False","Mary Louise Cleave","American","0","","NASA Group 9","0","","Retired"
"","1958-11-19","","0","","0","","False","Jean-Françis   Clervoy","French","0","","CNES Group 2","0","","Active"
"","1952-10-13","","1","6h 2m","0","","False","Michael Richard Uram Clifford""Rich""","American","0","","NASA Group 13","0","","Retired"
"","1946-01-16","","0","","0","","False","Michael Lloyd Coats""Mike""","American","0","","NASA Group 8","0","","Inactive"
"","1950-04-09","","0","","0","","False","Kenneth Dale Cockrell","American","0","","NASA Group 13","0","","Inactive"
"","1960-12-14","","0","","0","","False","Catherine Grace Coleman""Cady""","American","0","","NASA Group 14","0","","Inactive"
"","1956-11-19","","0","","0","","False","Eileen Marie Collins","American","0","","NASA Group 13","0","","Retired"
"","1930-10-31","","3","1h 33m","0","","False","Michael   Collins""Mike""","American","0","","NASA Group 3","0","","Retired"
"","United States","","0","","0","","False","Keith Colmer","American","0","","SpaceShipTwo","0","",""
"","1952-08-17","","3","21h 11m","0","","False","Kathryn Ryan Thorntonnee: Cordell""Kathy""","American","0","","NASA Group 10","0","","Retired"
"37.4","1948-09-02","1986-01-28","0","","0","","False","Sharon Christa McAuliffenee: Corrigan","American","0","","NASA Teacher In Space Program","1","1m 13s","Deceased"
"","1946-08-01","","0","","0","","False","Richard Oswalt Covey""Dick""","American","0","","NASA Group 8","0","","Retired"
"","1959-11-15","","0","","0","","False","Timothy John Creamer""TJ""","American","0","","NASA Group 17","0","","Inactive"
"","1943-04-28","","0","","0","","False","John Oliver Creighton","American","0","","NASA Group 8","0","","Retired"
"","1937-09-11","","0","","0","","False","Robert Laurel Crippen""Bob""","American","0","","USAF MOL Group 2","0","","Retired"
"","1977-04-26","","0","","0","","False","Samantha Cristoforetti","Italian","0","","2009 ESA Group","0","","Active"
"","1954-02-27","","0","","0","","False","Robert Buck Crombie","American","0","","MSE Group 3","0","","Retired"
"84.5","1921-10-02","2006-04-19","0","","0","","False","Albert Scott Crossfield""Scott""","American","0","","Man In Space Soonest","14","2h 44s","Deceased"
"","1940-09-12","","0","","0","","False","Roger Keith Crouch","American","0","","","0","","Retired"
"","1932-03-16","","0","","0","","False","Ronnie Walter Cunningham""Walt""","American","0","","NASA Group 3","0","","Retired"
